entity_id,entity_type,business_name,tax_id,license_number,reason,date_flagged,severity,status,last_verified,notes
BL-023,medical_provider,Dupont Circle Wellness Group,53-8822191,NPI-8832109422,Treatment pattern clustering on soft‑tissue claims.,2025-03-25,medium,active,2025-10-16,Repeated identical care plans flagged. Ref: SIU-2025-56.
BL-024,repair_shop,Henrico Auto Refinishing,54-8821144,MD-SHOP-1188,Alleged repeated supplement inflation beyond peer benchmarks.,2025-05-29,critical,active,2025-10-31,Supplement spikes observed across three claims. Ref: SIU-2025-63. Recommend immediate audit.
BL-025,customer,,***-**-6621,,Multiple prior losses closed for documentation issues.,2025-04-09,high,active,2025-10-20,Pattern suggests elevated risk. Ref: SIU-2025-47.
BL-001,customer,,***-**-4421,,Alleged staged collision pattern across two claims (duplicate witness phone numbers).,2025-10-12,medium,active,2025-11-10,Patterns consistent with staged losses; recommend secondary adjuster review. Ref: SIU-2025-14.
BL-002,repair_shop,Henrico Auto Refinishing,54-8821933,MD-SHOP-1188,Repeated excessive supplement variance >40% vs. baseline.,2025-09-15,high,active,2025-11-08,Variance triggered automated anomaly alert; alleged over‑inflated structural labor. Ref: CLM-552201.
BL-003,medical_provider,Capital Tele-Triage MD Unit,52-7723001,MD-MED-7723,Documentation gaps and inconsistent telehealth session logs.,2025-04-21,medium,under_investigation,2025-10-30,Pending audit follow‑up for incomplete encounter notes. Ref: SIU-2025-33.
BL-004,attorney,Raymond & Cutter Injury Law,52-3391882,,High frequency of coordinated late medical submissions across multiple claims.,2025-07-02,medium,active,2025-11-05,Alleged pattern suggests inflated treatment windows; recommend pre‑lit review. Ref: CLM-991220.
BL-005,customer,,***-**-1180,,VIN reuse across two unrelated loss reports.,2025-08-18,high,active,2025-11-12,Potential identity misuse; halt payments pending verification. Ref: SIU-2025-40.
BL-006,medical_provider,Metro Trauma & Spine Center,52-9944001,MD-MED-9944,Repeated high-charge coding anomalies on follow‑up visits.,2025-05-30,medium,active,2025-11-02,Coding audit shows upcoding indicators; recommend secondary code review. Ref: AUD-2025-22.
BL-007,repair_shop,District Elite Collision,53-9922001,MD-SHOP-9922,Alleged inflated blend labor across multiple OEM repairs.,2025-09-21,high,active,2025-11-14,Structural review flagged inconsistent labor hour justifications. Ref: CLM-772221.
BL-008,customer,,***-**-6629,,Claimant alleged to have used altered police report.,2025-03-12,critical,active,2025-11-11,Verified discrepancies in incident time; recommend immediate suspension. Ref: SIU-2025-50.
BL-009,medical_provider,Potomac Ortho & Rehab,52-7742001,MD-MED-7742,Duplicate billing for telehealth and in‑person for same encounter.,2024-12-20,medium,active,2025-10-04,Possible system-level coding error; request remediation plan. Ref: AUD-2025-10.
BL-010,attorney,Harrison Legal Group,52-1882341,,Coordinated provider referrals with excessive treatment duration.,2025-06-18,medium,active,2025-11-07,Multiple linked claims show outlier treatment length. Ref: SIU-2025-18.
BL-011,repair_shop,Annapolis Harbor Collision,52-9022003,MD-SHOP-9022,Alleged inflated parts pricing well above OEM index.,2025-08-02,medium,under_investigation,2025-10-12,Pending parts audit reconciliation. Ref: AUD-2025-31.
BL-012,customer,,***-**-5502,,Potential identity theft linked to mismatched address history.,2025-10-01,high,active,2025-11-09,Recommend ID verification before claim continuation. Ref: SIU-2025-41.
BL-013,medical_provider,Penn Trauma Recovery Clinic,25-4502001,MD-MED-4502,Suspected excessive session frequency vs. clinical guidelines.,2025-04-14,medium,active,2025-10-23,Outlier frequency pattern flagged; request treatment justification. Ref: CLM-662120.
BL-014,attorney,Hughes & Fenner Law,52-5521982,,Repeated late‑stage demands inconsistent with medical summaries.,2025-05-19,low,active,2025-10-20,Monitoring recommended due to documentation discrepancies. Ref: SIU-2025-27.
BL-015,repair_shop,Metro Auto Precision,54-7712391,MD-SHOP-7781,Pattern of incomplete teardown documentation.,2025-03-28,medium,active,2025-11-06,Missing teardown photos across three claims. Ref: CLM-551022.
BL-016,customer,,***-**-9921,,Repeated soft‑tissue injury claims with identical provider cluster.,2025-08-11,medium,active,2025-10-29,Clustered usage suggests coached treatment sequencing; monitor. Ref: SIU-2025-34.
BL-017,medical_provider,District TeleNeurology Group,53-7721001,MD-MED-7721,Inconsistent neuro eval timestamps vs. claim data.,2025-09-01,high,active,2025-11-05,Timestamp discrepancies under review; request log validation. Ref: AUD-2025-36.
BL-181,repair_shop,Eastern Frame & Collision,52-1152392,MD-SHOP-9931,Alleged structural repair overbilling.,2025-10-05,high,active,2025-11-10,Independent estimator noted 30% labor variance. Ref: CLM-118522.
BL-019,customer,,***-**-4410,,Phone number linked to three unrelated claimants.,2025-02-27,medium,under_investigation,2025-10-15,Possible identity ring; cross‑checking prior claims. Ref: SIU-2025-12.
BL-020,attorney,Barton & Ellis Injury Advocates,52-1192831,,Pattern of inflated loss‑of‑wage claims.,2025-06-11,medium,active,2025-10-25,Multiple claims feature unverifiable employment statements. Ref: CLM-225011.
BL-021,medical_provider,Dupont Circle Wellness Group,53-8832104,NPI-8832109422,Suspected double billing for PT modalities.,2025-07-29,medium,active,2025-11-04,Recommend coding audit before further payments. Ref: AUD-2025-45.
BL-022,repair_shop,Crown Body & Frame,54-2219031,MD-SHOP-7729,Excessive part markups >45%.,2025-09-09,medium,active,2025-10-28,Marked deviation from OEM index; hold supplements. Ref: CLM-881201.
BL-023,customer,,***-**-2301,,Alleged staged rear‑end collision with repeated partner vehicle.,2025-10-14,critical,active,2025-11-13,Telematics contradict incident narrative; immediate suspension advised. Ref: SIU-2025-60.
BL-024,medical_provider,Capital Orthopedic Rehab Group,53-2391001,MD-MED-2391,Overlapping appointments recorded for same clinician.,2025-08-22,high,active,2025-11-07,Possible scheduling system error; verify logs before reinstating payments. Ref: AUD-2025-39.
BL-025,repair_shop,Harborline Collision,52-4419921,MD-SHOP-6611,Prior investigation resolved after documentation review.,2025-03-10,low,resolved,2025-10-30,Payments reinstated after verification; monitor expiration per policy.
